Id,RefDefs,Package,Qty,Value,part number/description,,
1,Y1,4-SMD,1,24Mhz,XRCGB24M000F0L00R0,,
2,"C16,C15",603,2,6pF,CL10C060CB8NNNC,,
3,R6,603,1,680R,,,
4,D6,603,1,,150060BS55040,,
5,"D8,D7,D5,D4",603,4,,150060VS75000,,
6,"R11,R3",603,2,330R,,,
7,"C11,C8,C9,C7",603,4,4.7uF,CC0603KRX5R5BB475,,
8,U4,SOT-323_SC-70,1,,ESD7002WTT1G,,
9,"C12,C13,C6,C2",603,4,1uf,,,
10,U2,SOT-23,1,,AP2210N-3.3TRG1,,
11,J4,USB_B_Micro,1,,Amphenol 10103594-0001LF,,
12,SW2,Through hole,1,,GPTS203211B,,
13,SW1,Through hole,1,,TE Connectivity FSMSM,,
14,"R2,R4,R5,R9,R13",603,5,20k,,,
15,"R12,R1,R7,R8,R10",603,5,270R,,,
16,"Q3,Q2,Q1,Q4",SOT-23,4,,BSS806N,,
17,D3,603,1,LED,150060SS75000,,
18,"C1,C5,C14,C10,C4,C3",603,6,100nF,,,
19,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,,STM32F411CEU6,,
20,U3,SOT-753,1,,MCP73831T-2ACI_OT,,
21,"D1,D2",D_SOD-323,2,20V2A,SMD22WS-TP,,
22,L1,603,1,,BLM18TG601TN1D,,
