Id,RefDefs,Package,Qty,Value,part number/description,,
1,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,,STM32F412CGU6,,
2,R6,603,1,675R,,,
3,J2,,1,,Keystone Electronics 54,,
4,"C1,C16,C15,C4,C3,C5",603,5,100nF,,,
5,"C14,C7",603,2,4.7uF,,,
6,U3,SOT-23-6,1,,BQ21040DBVR,,
7,D6,603,1,,150060BS55040,,
8,"D8,D7,D5,D4",603,4,,150060VS75000,,
9,R14,603,1,10k,,,
10,"R11,R3",603,2,330R,,,
11,"C9,C11,C12,C13,C6,C2",603,4,1uF,,,
12,U4,SOT-323_SC-70,1,,ESD7002WTT1G,,
13,U2,SOT-23,1,,AP2210N-3.3TRG1,,
14,J4,,1,,Amphenol 10103594-0001LF USB micro,,
15,SW2,,1,,GPTS203211B,,
16,SW1,,1,,TE Connectivity FSMSM - SWITCH TACTILE SPST-NO 0.05A 24V,,
17,"D1,D2",D_SOD-323,2,,"2A,20V,SCHOTTKY,SOD-323 PACKAGE",,
18,L1,603,1,Bead,BLM18TG601TN1D - Ferrite bead - 600 Ohms @ 100MHz 1 Ferrite Bead 0603 (1608 Metric) 200mA 450mOhm,,
19,"R1,R7,R8,R10,R12",603,5,270R,,,
20,"R2,R4,R5,R9,R13",603,4,20k,,,
21,"Q1,Q3,Q4,Q2",SOT-23,4,,BSS806NH6327XTSA1,,
22,D3,603,1,,150060SS75000,,
