Id,RefDefs,Package,Qty,Value,part number/description,,
1,"D2,D1",D_SOD-323,2,20V2A,SMD22WS-TP,,
2,Y1,4-SMD,1,,XRCGB24M000F0L00R0,,
3,U1,48-UFQFPN,1,,STM32F411CEU6,,
4,R6,603,1,680R,,,
5,"C16,C15,C4,C1,C3,C5",603,6,100nF,CC0603KRX7R9BB104,,
6,"C14,C7",603,2,4.7uF,CC0603KRX5R5BB475,,
7,U3,SOT-23-6,1,,BQ21040,,
8,D6,603,1,,150060BS55040,,
9,"D8,D7,D5,D4",603,4,,150060VS75000,,
10,R14,603,1,10k,,,
11,"R11,R3",603,2,330R,,,
12,"C11,C12,C9,C13,C6,C2",603,6,1uF,CC0603KRX7R7BB105,,
13,U4,SOT-323_SC-70,1,,ESD7002WTT1G,,
14,U2,SOT-23,1,,AP2210N-3.3TRG1,,
15,J4,USB Micro,1,,Amphenol 10103594-0001LF,,
16,SW2,,1,,GPTS203211B,,
17,SW1,,1,,TE Connectivity FSMSM,,
18,L1,603,1,,BLM18TG601TN1D,,
19,"R1,R7,R8,R10,R12",603,5,270R,,,
20,"R2,R4,R5,R9,R13",603,5,20k,,,
21,"C8,C10",603,2,6pF,CL10C060CB8NNNC,,
22,"Q1,Q3,Q4,Q2",SOT-23,4,,BSS806N,,
23,D3,603,1,,150060SS75000,,
